invoice_date,stock_code,description,weekly_demand,active_days,complete_week
2009-12-20,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,720,6,True
2009-12-27,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,3,False
2010-01-03,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0,0,False
2010-01-10,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,336,6,True
2010-01-17,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,384,6,True
2010-01-24,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,291,6,True
2010-01-31,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,432,6,True
2010-02-07,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,576,6,True
2010-02-14,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,240,6,True
2010-02-21,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1008,6,True
2010-02-28,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,576,6,True
2010-03-07,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1008,6,True
2010-03-14,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,528,6,True
2010-03-21,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2592,6,True
2010-03-28,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,387,6,True
2010-04-04,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,192,4,False
2010-04-11,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1393,5,True
2010-04-18,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1007,6,True
2010-04-25,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,576,6,True
2010-05-02,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,624,6,True
2010-05-09,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,240,5,True
2010-05-16,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1824,6,True
2010-05-23,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,528,6,True
2010-05-30,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,592,6,True
2010-06-06,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,338,5,True
2010-06-13,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2208,6,True
2010-06-20,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1018,6,True
2010-06-27,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,544,6,True
2010-07-04,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1448,6,True
2010-07-11,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,193,6,True
2010-07-18,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,823,6,True
2010-07-25,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1057,6,True
2010-08-01,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,838,6,True
2010-08-08,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2986,6,True
2010-08-15,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,769,6,True
2010-08-22,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,816,6,True
2010-08-29,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,246,6,True
2010-09-05,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1920,5,True
2010-09-12,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,865,6,True
2010-09-19,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,307,6,True
2010-09-26,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,917,6,True
2010-10-03,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,770,6,True
2010-10-10,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,3552,6,True
2010-10-17,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,720,6,True
2010-10-24,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,481,6,True
2010-10-31,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,730,6,True
2010-11-07,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,5301,6,True
2010-11-14,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2556,6,True
2010-11-21,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,826,6,True
2010-11-28,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,629,6,True
2010-12-05,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,3654,6,True
2010-12-12,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,513,6,True
2010-12-19,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1173,6,True
2010-12-26,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,100,4,False
2011-01-02,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0,0,False
2011-01-09,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,625,5,True
2011-01-16,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,289,6,True
2011-01-23,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0,6,True
2011-01-30,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,530,6,True
2011-02-06,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2837,6,True
2011-02-13,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,6,True
2011-02-20,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,424,6,True
2011-02-27,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,257,6,True
2011-03-06,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1680,6,True
2011-03-13,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1200,6,True
2011-03-20,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,480,6,True
2011-03-27,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,192,6,True
2011-04-03,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,3216,6,True
2011-04-10,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,392,6,True
2011-04-17,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2448,6,True
2011-04-24,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1927,4,False
2011-05-01,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2592,4,False
2011-05-08,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,917,5,True
2011-05-15,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1248,6,True
2011-05-22,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1008,6,True
2011-05-29,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,576,6,True
2011-06-05,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1445,5,True
2011-06-12,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,480,6,True
2011-06-19,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,145,6,True
2011-06-26,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,961,6,True
2011-07-03,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,291,6,True
2011-07-10,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1109,6,True
2011-07-17,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1104,6,True
2011-07-24,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,726,6,True
2011-07-31,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,775,6,True
2011-08-07,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,98,6,True
2011-08-14,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,577,6,True
2011-08-21,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,528,6,True
2011-08-28,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1056,6,True
2011-09-04,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,290,5,True
2011-09-11,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,432,6,True
2011-09-18,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1296,6,True
2011-09-25,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,587,6,True
2011-10-02,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1008,6,True
2011-10-09,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,893,6,True
2011-10-16,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,730,6,True
2011-10-23,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,975,6,True
2011-10-30,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,5328,6,True
2011-11-06,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,974,6,True
2011-11-13,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1167,6,True
2011-11-20,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1170,6,True
2011-11-27,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,915,6,True
2011-12-04,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,689,6,True
2011-12-11,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1073,5,True
2009-12-06,84879,ASSORTED COLOUR BIRD ORNAMENT,2023,6,True
2009-12-13,84879,ASSORTED COLOUR BIRD ORNAMENT,1213,6,True
2009-12-20,84879,ASSORTED COLOUR BIRD ORNAMENT,1324,6,True
2009-12-27,84879,ASSORTED COLOUR BIRD ORNAMENT,82,3,False
2010-01-03,84879,ASSORTED COLOUR BIRD ORNAMENT,0,0,False
2010-01-10,84879,ASSORTED COLOUR BIRD ORNAMENT,168,6,True
2010-01-17,84879,ASSORTED COLOUR BIRD ORNAMENT,233,6,True
2010-01-24,84879,ASSORTED COLOUR BIRD ORNAMENT,897,6,True
2010-01-31,84879,ASSORTED COLOUR BIRD ORNAMENT,211,6,True
2010-02-07,84879,ASSORTED COLOUR BIRD ORNAMENT,274,6,True
2010-02-14,84879,ASSORTED COLOUR BIRD ORNAMENT,504,6,True
2010-02-21,84879,ASSORTED COLOUR BIRD ORNAMENT,587,6,True
2010-02-28,84879,ASSORTED COLOUR BIRD ORNAMENT,294,6,True
2010-03-07,84879,ASSORTED COLOUR BIRD ORNAMENT,735,6,True
2010-03-14,84879,ASSORTED COLOUR BIRD ORNAMENT,917,6,True
2010-03-21,84879,ASSORTED COLOUR BIRD ORNAMENT,551,6,True
2010-03-28,84879,ASSORTED COLOUR BIRD ORNAMENT,808,6,True
2010-04-04,84879,ASSORTED COLOUR BIRD ORNAMENT,331,4,False
2010-04-11,84879,ASSORTED COLOUR BIRD ORNAMENT,736,5,True
2010-04-18,84879,ASSORTED COLOUR BIRD ORNAMENT,653,6,True
2010-04-25,84879,ASSORTED COLOUR BIRD ORNAMENT,504,6,True
2010-05-02,84879,ASSORTED COLOUR BIRD ORNAMENT,919,6,True
2010-05-09,84879,ASSORTED COLOUR BIRD ORNAMENT,342,5,True
2010-05-16,84879,ASSORTED COLOUR BIRD ORNAMENT,899,6,True
2010-05-23,84879,ASSORTED COLOUR BIRD ORNAMENT,275,6,True
2010-05-30,84879,ASSORTED COLOUR BIRD ORNAMENT,560,6,True
2010-06-06,84879,ASSORTED COLOUR BIRD ORNAMENT,309,5,True
2010-06-13,84879,ASSORTED COLOUR BIRD ORNAMENT,256,6,True
2010-06-20,84879,ASSORTED COLOUR BIRD ORNAMENT,569,6,True
2010-06-27,84879,ASSORTED COLOUR BIRD ORNAMENT,252,6,True
2010-07-04,84879,ASSORTED COLOUR BIRD ORNAMENT,692,6,True
2010-07-11,84879,ASSORTED COLOUR BIRD ORNAMENT,858,6,True
2010-07-18,84879,ASSORTED COLOUR BIRD ORNAMENT,400,6,True
2010-07-25,84879,ASSORTED COLOUR BIRD ORNAMENT,1043,6,True
2010-08-01,84879,ASSORTED COLOUR BIRD ORNAMENT,621,6,True
2010-08-08,84879,ASSORTED COLOUR BIRD ORNAMENT,640,6,True
2010-08-15,84879,ASSORTED COLOUR BIRD ORNAMENT,750,6,True
2010-08-22,84879,ASSORTED COLOUR BIRD ORNAMENT,664,6,True
2010-08-29,84879,ASSORTED COLOUR BIRD ORNAMENT,1000,6,True
2010-09-05,84879,ASSORTED COLOUR BIRD ORNAMENT,963,5,True
2010-09-12,84879,ASSORTED COLOUR BIRD ORNAMENT,387,6,True
2010-09-19,84879,ASSORTED COLOUR BIRD ORNAMENT,619,6,True
2010-09-26,84879,ASSORTED COLOUR BIRD ORNAMENT,1784,6,True
2010-10-03,84879,ASSORTED COLOUR BIRD ORNAMENT,773,6,True
2010-10-10,84879,ASSORTED COLOUR BIRD ORNAMENT,753,6,True
2010-10-17,84879,ASSORTED COLOUR BIRD ORNAMENT,2277,6,True
2010-10-24,84879,ASSORTED COLOUR BIRD ORNAMENT,1736,6,True
2010-10-31,84879,ASSORTED COLOUR BIRD ORNAMENT,1031,6,True
2010-11-07,84879,ASSORTED COLOUR BIRD ORNAMENT,992,6,True
2010-11-14,84879,ASSORTED COLOUR BIRD ORNAMENT,5584,6,True
2010-11-21,84879,ASSORTED COLOUR BIRD ORNAMENT,1460,6,True
2010-11-28,84879,ASSORTED COLOUR BIRD ORNAMENT,779,6,True
2010-12-05,84879,ASSORTED COLOUR BIRD ORNAMENT,1184,6,True
2010-12-12,84879,ASSORTED COLOUR BIRD ORNAMENT,781,6,True
2010-12-19,84879,ASSORTED COLOUR BIRD ORNAMENT,638,6,True
2010-12-26,84879,ASSORTED COLOUR BIRD ORNAMENT,40,4,False
2011-01-02,84879,ASSORTED COLOUR BIRD ORNAMENT,0,0,False
2011-01-09,84879,ASSORTED COLOUR BIRD ORNAMENT,472,5,True
2011-01-16,84879,ASSORTED COLOUR BIRD ORNAMENT,434,6,True
2011-01-23,84879,ASSORTED COLOUR BIRD ORNAMENT,139,6,True
2011-01-30,84879,ASSORTED COLOUR BIRD ORNAMENT,336,6,True
2011-02-06,84879,ASSORTED COLOUR BIRD ORNAMENT,937,6,True
2011-02-13,84879,ASSORTED COLOUR BIRD ORNAMENT,160,6,True
2011-02-20,84879,ASSORTED COLOUR BIRD ORNAMENT,588,6,True
2011-02-27,84879,ASSORTED COLOUR BIRD ORNAMENT,328,6,True
2011-03-06,84879,ASSORTED COLOUR BIRD ORNAMENT,213,6,True
2011-03-13,84879,ASSORTED COLOUR BIRD ORNAMENT,642,6,True
2011-03-20,84879,ASSORTED COLOUR BIRD ORNAMENT,963,6,True
2011-03-27,84879,ASSORTED COLOUR BIRD ORNAMENT,391,6,True
2011-04-03,84879,ASSORTED COLOUR BIRD ORNAMENT,585,6,True
2011-04-10,84879,ASSORTED COLOUR BIRD ORNAMENT,753,6,True
2011-04-17,84879,ASSORTED COLOUR BIRD ORNAMENT,815,6,True
2011-04-24,84879,ASSORTED COLOUR BIRD ORNAMENT,612,4,False
2011-05-01,84879,ASSORTED COLOUR BIRD ORNAMENT,264,4,False
2011-05-08,84879,ASSORTED COLOUR BIRD ORNAMENT,594,5,True
2011-05-15,84879,ASSORTED COLOUR BIRD ORNAMENT,1201,6,True
2011-05-22,84879,ASSORTED COLOUR BIRD ORNAMENT,595,6,True
2011-05-29,84879,ASSORTED COLOUR BIRD ORNAMENT,565,6,True
2011-06-05,84879,ASSORTED COLOUR BIRD ORNAMENT,384,5,True
2011-06-12,84879,ASSORTED COLOUR BIRD ORNAMENT,292,6,True
2011-06-19,84879,ASSORTED COLOUR BIRD ORNAMENT,446,6,True
2011-06-26,84879,ASSORTED COLOUR BIRD ORNAMENT,270,6,True
2011-07-03,84879,ASSORTED COLOUR BIRD ORNAMENT,292,6,True
2011-07-10,84879,ASSORTED COLOUR BIRD ORNAMENT,460,6,True
2011-07-17,84879,ASSORTED COLOUR BIRD ORNAMENT,372,6,True
2011-07-24,84879,ASSORTED COLOUR BIRD ORNAMENT,519,6,True
2011-07-31,84879,ASSORTED COLOUR BIRD ORNAMENT,470,6,True
2011-08-07,84879,ASSORTED COLOUR BIRD ORNAMENT,3800,6,True
2011-08-14,84879,ASSORTED COLOUR BIRD ORNAMENT,1323,6,True
2011-08-21,84879,ASSORTED COLOUR BIRD ORNAMENT,548,6,True
2011-08-28,84879,ASSORTED COLOUR BIRD ORNAMENT,850,6,True
2011-09-04,84879,ASSORTED COLOUR BIRD ORNAMENT,216,5,True
2011-09-11,84879,ASSORTED COLOUR BIRD ORNAMENT,488,6,True
2011-09-18,84879,ASSORTED COLOUR BIRD ORNAMENT,908,6,True
2011-09-25,84879,ASSORTED COLOUR BIRD ORNAMENT,701,6,True
2011-10-02,84879,ASSORTED COLOUR BIRD ORNAMENT,791,6,True
2011-10-09,84879,ASSORTED COLOUR BIRD ORNAMENT,589,6,True
2011-10-16,84879,ASSORTED COLOUR BIRD ORNAMENT,420,6,True
2011-10-23,84879,ASSORTED COLOUR BIRD ORNAMENT,821,6,True
2011-10-30,84879,ASSORTED COLOUR BIRD ORNAMENT,778,6,True
2011-11-06,84879,ASSORTED COLOUR BIRD ORNAMENT,968,6,True
2011-11-13,84879,ASSORTED COLOUR BIRD ORNAMENT,1740,6,True
2011-11-20,84879,ASSORTED COLOUR BIRD ORNAMENT,1310,6,True
2011-11-27,84879,ASSORTED COLOUR BIRD ORNAMENT,1026,6,True
2011-12-04,84879,ASSORTED COLOUR BIRD ORNAMENT,953,6,True
2011-12-11,84879,ASSORTED COLOUR BIRD ORNAMENT,672,5,True
2009-12-06,85099B,JUMBO BAG RED RETROSPOT,1198,6,True
2009-12-13,85099B,JUMBO BAG RED RETROSPOT,1233,6,True
2009-12-20,85099B,JUMBO BAG RED RETROSPOT,1304,6,True
2009-12-27,85099B,JUMBO BAG RED RETROSPOT,36,3,False
2010-01-03,85099B,JUMBO BAG RED RETROSPOT,0,0,False
2010-01-10,85099B,JUMBO BAG RED RETROSPOT,1152,6,True
2010-01-17,85099B,JUMBO BAG RED RETROSPOT,929,6,True
2010-01-24,85099B,JUMBO BAG RED RETROSPOT,627,6,True
2010-01-31,85099B,JUMBO BAG RED RETROSPOT,864,6,True
2010-02-07,85099B,JUMBO BAG RED RETROSPOT,478,6,True
2010-02-14,85099B,JUMBO BAG RED RETROSPOT,547,6,True
2010-02-21,85099B,JUMBO BAG RED RETROSPOT,1014,6,True
2010-02-28,85099B,JUMBO BAG RED RETROSPOT,613,6,True
2010-03-07,85099B,JUMBO BAG RED RETROSPOT,754,6,True
2010-03-14,85099B,JUMBO BAG RED RETROSPOT,800,6,True
2010-03-21,85099B,JUMBO BAG RED RETROSPOT,555,6,True
2010-03-28,85099B,JUMBO BAG RED RETROSPOT,929,6,True
2010-04-04,85099B,JUMBO BAG RED RETROSPOT,588,4,False
2010-04-11,85099B,JUMBO BAG RED RETROSPOT,416,5,True
2010-04-18,85099B,JUMBO BAG RED RETROSPOT,1006,6,True
2010-04-25,85099B,JUMBO BAG RED RETROSPOT,645,6,True
2010-05-02,85099B,JUMBO BAG RED RETROSPOT,1539,6,True
2010-05-09,85099B,JUMBO BAG RED RETROSPOT,1207,5,True
2010-05-16,85099B,JUMBO BAG RED RETROSPOT,984,6,True
2010-05-23,85099B,JUMBO BAG RED RETROSPOT,621,6,True
